Key SUBDESC:PERMITFLAG value: ('Single Dwelling Unit', 'YNYN'),  mean time (days): 120.0,  stddev (days): 109.995454452, number of entries: 3
Key SUBDESC:PERMITFLAG value: ('Open Public Parking Garage', 'YNYY'),  mean time (days): 143.0,  stddev (days): 69.2964645563, number of entries: 2
Key SUBDESC:PERMITFLAG value: ('2nd Unit Added', 'YYNY'),  mean time (days): 344.0,  stddev (days): 326.859296946, number of entries: 3
Key SUBDESC:PERMITFLAG value: ('Open Public Parking Garage', 'YYYY'),  mean time (days): 473.25,  stddev (days): 325.033514755, number of entries: 8
Key SUBDESC:PERMITFLAG value: ('Restaurant', 'NYNY'),  mean time (days): 160.764705882,  stddev (days): 270.279376158, number of entries: 17
Key SUBDESC:PERMITFLAG value: ('Condo', 'NNYY'),  mean time (days): 57.9529411765,  stddev (days): 68.6717467403, number of entries: 255
Key SUBDESC:PERMITFLAG value: ('Apt/Condo/Townhouse', 'YYNN'),  mean time (days): 152.755102041,  stddev (days): 173.979707942, number of entries: 49
Key SUBDESC:PERMITFLAG value: ('Recreation Building', 'NYNN'),  mean time (days): 48.9166666667,  stddev (days): 83.5744482829, number of entries: 24
Key SUBDESC:PERMITFLAG value: ('Retail', 'NYYN'),  mean time (days): 143.788235294,  stddev (days): 224.136124355, number of entries: 85
Key SUBDESC:PERMITFLAG value: ('Service Station', 'YYYN'),  mean time (days): 306.0,  stddev (days): 297.208680896, number of entries: 3
Key SUBDESC:PERMITFLAG value: ('Retail', 'YYNN'),  mean time (days): 166.152777778,  stddev (days): 240.566330622, number of entries: 72
Key SUBDESC:PERMITFLAG value: ('Single Dwelling Unit', 'NYYY'),  mean time (days): 93.4528301887,  stddev (days): 85.8132063616, number of entries: 53
Key SUBDESC:PERMITFLAG value: ('Apt/Condo/Townhouse', 'NYNN'),  mean time (days): 77.3880733945,  stddev (days): 214.561531766, number of entries: 1090
Key SUBDESC:PERMITFLAG value: ('Undefined', 'YNNN'),  mean time (days): 162.31875,  stddev (days): 186.413565108, number of entries: 160
Key SUBDESC:PERMITFLAG value: ('Office', 'NYYY'),  mean time (days): 108.114285714,  stddev (days): 90.1494743806, number of entries: 35
Key SUBDESC:PERMITFLAG value: ('Auditorium', 'YNNN'),  mean time (days): 178.75,  stddev (days): 178.150451398, number of entries: 4
Key SUBDESC:PERMITFLAG value: ('Assembly', 'NYNN'),  mean time (days): 158.6,  stddev (days): 178.209667847, number of entries: 15
Key SUBDESC:PERMITFLAG value: ('Apartment', 'YYNN'),  mean time (days): 102.684210526,  stddev (days): 106.18527337, number of entries: 76
Key SUBDESC:PERMITFLAG value: ('High Rise', 'NNYN'),  mean time (days): 55.6,  stddev (days): 84.5210033069, number of entries: 5
Key SUBDESC:PERMITFLAG value: ('Hotel/Motel', 'NYNY'),  mean time (days): 59.0,  stddev (days): 60.7970863964, number of entries: 8
Key SUBDESC:PERMITFLAG value: ('Townhouse', 'NNYY'),  mean time (days): 50.9858156028,  stddev (days): 79.3625483656, number of entries: 141
Key SUBDESC:PERMITFLAG value: ('Open Public Parking Garage', 'YYNY'),  mean time (days): 492.2,  stddev (days): 343.525399352, number of entries: 5
Key SUBDESC:PERMITFLAG value: ('Mixed Use', 'YNNY'),  mean time (days): 225.043478261,  stddev (days): 256.759965419, number of entries: 23
Key SUBDESC:PERMITFLAG value: ('Townhouse', 'NYYY'),  mean time (days): 79.4888888889,  stddev (days): 63.7839471904, number of entries: 45
Key SUBDESC:PERMITFLAG value: ('Office', 'YNNN'),  mean time (days): 125.647058824,  stddev (days): 176.208276068, number of entries: 1173
Key SUBDESC:PERMITFLAG value: ('', 'NYNN'),  mean time (days): 11678.5,  stddev (days): 2012.34365852, number of entries: 4
Key SUBDESC:PERMITFLAG value: ('Cafeteria', 'NNYN'),  mean time (days): 27.5,  stddev (days): 38.8908729653, number of entries: 2
Key SUBDESC:PERMITFLAG value: ('R & D Lab', 'YYYY'),  mean time (days): 202.581005587,  stddev (days): 184.186971068, number of entries: 179
Key SUBDESC:PERMITFLAG value: ('Single Dwelling Unit', 'NNNY'),  mean time (days): 65.15,  stddev (days): 119.879544244, number of entries: 40
Key SUBDESC:PERMITFLAG value: ('Multiple Use', 'YNNN'),  mean time (days): 910.111111111,  stddev (days): 652.833907752, number of entries: 9
Key SUBDESC:PERMITFLAG value: ('Apt/Condo/Townhouse', 'NNNN'),  mean time (days): 1495.88095238,  stddev (days): 1468.57558667, number of entries: 42
Key SUBDESC:PERMITFLAG value: ('Single Dwelling Unit', 'NNYY'),  mean time (days): 59.9310344828,  stddev (days): 83.944397234, number of entries: 58
Key SUBDESC:PERMITFLAG value: ('Industrial Plant', 'NYNY'),  mean time (days): 241.0,  stddev (days): nan, number of entries: 1
Key SUBDESC:PERMITFLAG value: ('Manufactured Home', 'YNNN'),  mean time (days): 84.0,  stddev (days): nan, number of entries: 1
Key SUBDESC:PERMITFLAG value: ('R & D Lab', 'NYNN'),  mean time (days): 180.235294118,  stddev (days): 121.461758326, number of entries: 68
Key SUBDESC:PERMITFLAG value: ('Store', 'NYYN'),  mean time (days): 55.6666666667,  stddev (days): 17.616280349, number of entries: 3
Key SUBDESC:PERMITFLAG value: ('Retail', 'YNYY'),  mean time (days): 110.225531915,  stddev (days): 155.806436001, number of entries: 235
Key SUBDESC:PERMITFLAG value: ('Apartment/Condo', 'NYNY'),  mean time (days): 222.107142857,  stddev (days): 189.495888607, number of entries: 28
Key SUBDESC:PERMITFLAG value: ('Health Club', 'YNYY'),  mean time (days): 99.25,  stddev (days): 61.4403504764, number of entries: 4
Key SUBDESC:PERMITFLAG value: ('Warehouse/Storage', 'NNNN'),  mean time (days): 590.4,  stddev (days): 844.24281865, number of entries: 20
Key SUBDESC:PERMITFLAG value: ('Non-Voluntary', 'NNNN'),  mean time (days): 492.471698113,  stddev (days): 679.138771254, number of entries: 106
Key SUBDESC:PERMITFLAG value: ('Agricultural Building', 'NYNN'),  mean time (days): 5.0,  stddev (days): nan, number of entries: 1
Key SUBDESC:PERMITFLAG value: ('School/Daycare', 'YYNN'),  mean time (days): 171.7,  stddev (days): 158.83537949, number of entries: 10
Key SUBDESC:PERMITFLAG value: ('Restaurant', 'YNNY'),  mean time (days): 171.180851064,  stddev (days): 225.403949344, number of entries: 188
Key SUBDESC:PERMITFLAG value: ('Residential Care', 'NNNY'),  mean time (days): 57.0757575758,  stddev (days): 91.8524419685, number of entries: 66
Key SUBDESC:PERMITFLAG value: ('Restaurant', 'NNYY'),  mean time (days): 121.125,  stddev (days): 222.861544142, number of entries: 8
Key SUBDESC:PERMITFLAG value: ('Apartment', 'NYYY'),  mean time (days): 103.381944444,  stddev (days): 115.341632809, number of entries: 144
Key SUBDESC:PERMITFLAG value: ('Apt/Condo/Townhouse', 'YYYY'),  mean time (days): 525.970838396,  stddev (days): 528.532400078, number of entries: 823
Key SUBDESC:PERMITFLAG value: ('Tract Site Work', 'YNNY'),  mean time (days): 525.0,  stddev (days): nan, number of entries: 1
Key SUBDESC:PERMITFLAG value: ('Bank', 'NNNN'),  mean time (days): 355.0,  stddev (days): nan, number of entries: 1
Key SUBDESC:PERMITFLAG value: ('Health Club', 'NYNY'),  mean time (days): 93.5,  stddev (days): 58.6898628385, number of entries: 2
Key SUBDESC:PERMITFLAG value: ('Duplex', 'NNYY'),  mean time (days): 65.4361702128,  stddev (days): 77.4035033675, number of entries: 94
